idPedido,fecha,idEmpleado
1,2023/06/11,1
2,2023/05/31,1
3,2023/07/11,1
4,2023/09/19,1
5,2023/12/29,1
6,2023/08/22,6
7,2023/11/24,7
8,2023/10/18,8
9,2023/08/11,9
10,2023/09/05,10
11,2023/12/02,11
12,2023/09/13,12
13,2023/05/30,13
14,2023/03/01,13
15,2023/06/16,13
16,2023/05/24,13
17,2023/07/16,13
18,2023/12/27,13
19,2023/03/24,13
20,2023/05/29,20
21,2023/06/12,21
22,2023/07/12,21
23,2023/07/05,21
24,2023/06/24,21
25,2023/06/16,21
26,2023/02/08,21
27,2023/10/01,27
28,2023/02/08,28
29,2023/01/26,29
30,2023/08/21,30
31,2023/05/01,30
32,2023/10/23,30
33,2023/09/16,30
34,2023/03/23,30
35,2023/03/29,30
36,2023/05/05,30
37,2023/05/11,30
38,2023/11/03,30
39,2023/02/28,39
40,2023/07/07,40
41,2023/09/19,40
42,2023/03/27,40
43,2023/06/10,40
44,2023/08/18,40
45,2023/08/01,40
46,2023/07/14,40
47,2023/06/14,40
48,2023/06/18,48
49,2023/03/13,49
50,2023/08/18,50
51,2023/10/04,50
52,2023/02/21,50
53,2023/02/01,50
54,2023/08/12,54
55,2023/09/26,55
56,2023/05/10,56
57,2023/01/23,57
58,2023/05/29,58
59,2023/08/24,58
60,2023/12/16,58
61,2023/06/03,58
62,2023/10/08,62
63,2023/12/15,63
64,2023/02/09,64
65,2023/07/27,65
66,2023/11/13,66
67,2023/03/01,67
68,2023/11/17,68
69,2023/07/27,69
70,2023/11/24,69
71,2023/04/27,69
72,2023/06/20,69
73,2023/06/07,69
74,2023/11/19,69
75,2023/04/05,69
76,2023/11/29,76
77,2023/02/17,77
78,2023/12/22,78
79,2023/11/04,78
80,2023/08/19,78
81,2023/07/04,78
82,2023/12/02,78
83,2023/12/08,83
84,2023/09/07,84
85,2023/03/29,85
86,2023/09/08,86
87,2023/12/24,87
88,2023/09/30,88
89,2023/01/27,88
90,2023/07/02,88
91,2023/01/30,88
92,2023/12/31,88
93,2023/11/26,93
94,2023/02/27,94
95,2023/03/01,95
96,2024/01/11,96
97,2024/01/11,97
98,2023/05/14,97
99,2023/07/12,99
100,2023/06/09,100
101,2023/06/23,101
102,2023/02/19,102
103,2024/01/15,103
104,2023/10/22,104
105,2024/01/20,105
106,2023/11/21,106
107,2023/12/18,107
108,2023/08/29,108
109,2023/05/18,108
110,2023/12/30,108
111,2023/05/24,108
112,2023/06/05,108
113,2023/02/20,113
114,2023/02/23,114
115,2023/05/06,114
116,2023/02/20,114
117,2023/07/18,114
118,2023/11/15,114
119,2023/05/11,114
120,2023/01/30,114
121,2024/01/17,121
122,2023/04/29,122
123,2023/09/14,123
124,2023/12/21,124
125,2023/11/06,125
126,2023/07/22,125
127,2023/11/03,125
128,2023/07/13,125
129,2023/11/02,125
130,2023/02/28,130
131,2023/11/26,131
132,2023/03/01,132
133,2023/02/06,133
134,2023/05/22,133
135,2023/02/24,133
136,2023/09/08,133
137,2023/02/15,133
138,2023/12/11,138
139,2023/11/19,139
140,2023/12/12,140
141,2023/07/20,141
142,2023/11/22,142
143,2023/02/21,142
144,2024/01/17,142
145,2023/08/21,142
146,2023/08/25,142
147,2023/12/28,142
148,2023/05/26,142
149,2023/02/26,149
150,2023/08/21,150
151,2024/01/14,151
152,2023/03/20,152
153,2023/04/22,153
154,2023/08/23,154
155,2023/04/04,155
156,2023/12/28,156
157,2023/11/05,156
158,2023/09/29,156
159,2023/03/30,156
160,2023/02/04,156
161,2023/05/27,161
162,2023/09/20,162
163,2023/02/24,163
164,2023/09/03,164
165,2023/01/30,165
166,2023/03/18,166
167,2023/08/10,167
168,2023/01/31,168
169,2023/03/14,168
170,2023/03/18,168
171,2023/08/01,168
172,2023/11/21,168
173,2023/07/14,168
174,2023/05/06,174
175,2023/07/22,175
176,2023/12/17,176
177,2023/05/30,177
178,2023/06/26,178
179,2023/12/15,179
180,2023/04/15,180
181,2023/12/02,181
182,2024/01/05,182
183,2023/01/26,182
184,2023/05/16,182
185,2023/10/26,185
186,2023/01/27,186
187,2023/05/07,187
188,2023/12/15,188
189,2023/01/27,189
190,2023/01/23,190
191,2023/04/16,191
192,2023/08/08,191
193,2023/04/08,191
194,2023/05/24,191
195,2023/04/13,195
196,2023/04/23,196
197,2023/02/11,197
198,2023/03/26,198
199,2023/05/30,199
200,2023/03/24,200
201,2023/07/20,201
202,2023/12/11,202
203,2023/09/29,202
204,2023/06/12,202
205,2023/03/08,202
206,2023/02/25,202
207,2023/11/13,207
208,2023/04/05,208
209,2023/03/20,209
210,2023/01/22,210
211,2023/12/10,211
212,2023/10/28,212
213,2023/07/06,212
214,2023/02/28,212
215,2023/05/02,212
216,2023/07/11,216
217,2023/03/09,217
218,2023/12/07,218
219,2023/05/09,219
220,2024/01/01,220
221,2023/05/21,221
222,2023/11/07,222
223,2023/10/25,223
224,2023/12/26,224
225,2024/01/09,225
226,2023/08/10,226
227,2023/04/26,226
228,2023/10/11,226
229,2023/09/01,229
230,2023/03/02,229
231,2023/12/12,229
232,2023/04/07,229
233,2023/08/30,233
234,2023/11/21,234
235,2023/01/22,235
236,2023/02/27,236
237,2023/11/05,236
238,2023/03/22,236
239,2023/03/23,236
240,2023/06/10,236
241,2023/03/12,241
242,2023/10/22,242
243,2023/09/23,243
244,2023/08/16,244
245,2024/01/12,245
246,2023/03/05,246
247,2023/05/19,247
248,2023/12/03,247
249,2024/01/08,247
250,2023/11/25,247
251,2023/06/01,247
252,2023/10/06,252
253,2023/11/17,253
254,2023/08/31,254
255,2023/02/07,254
256,2023/05/12,254
257,2023/08/16,254
258,2024/01/01,254
259,2023/04/28,259
260,2023/09/19,260
261,2023/03/02,261
262,2023/12/01,262
263,2023/05/05,263
264,2023/07/28,264
265,2023/03/02,264
266,2023/04/09,264
267,2023/10/18,264
268,2023/04/16,264
269,2023/10/25,264
270,2023/07/28,270
271,2023/10/14,271
272,2023/05/21,272
273,2024/01/14,273
274,2023/12/01,274
275,2023/05/12,274
276,2023/11/05,274
277,2023/08/22,274
278,2023/05/28,274
279,2023/10/20,274
280,2023/11/09,280
281,2023/09/06,281
282,2023/11/19,282
283,2023/04/23,283
284,2023/02/13,284
285,2023/07/19,285
286,2023/11/24,286
287,2023/10/19,286
288,2023/05/19,286
289,2023/03/24,286
290,2023/08/12,286
291,2023/07/11,291
292,2023/03/09,292
293,2023/04/22,293
294,2023/08/28,294
295,2023/11/09,295
296,2023/05/15,296
297,2023/12/25,297
298,2023/05/21,298
299,2023/06/06,299
300,2023/04/05,300
301,2023/10/08,301
302,2023/12/28,302
303,2023/01/30,303
304,2023/03/20,303
305,2023/07/24,303
306,2023/05/26,303
307,2023/02/28,303
308,2023/08/22,303
309,2023/08/15,309
310,2023/06/09,310
311,2023/12/15,311
312,2023/03/09,312
313,2023/03/18,313
314,2023/06/08,314
315,2023/07/26,315
316,2023/02/23,316
317,2023/05/21,317
318,2023/08/22,318
319,2023/02/01,319
320,2023/09/09,320
321,2023/09/23,321
322,2023/05/27,322
323,2023/03/23,322
324,2023/06/18,322
325,2023/10/06,322
326,2023/05/16,322
327,2023/11/08,327
328,2023/06/03,328
329,2023/01/30,328
330,2023/11/13,328
331,2023/11/09,328
332,2023/05/30,328
333,2023/09/30,328
334,2023/09/19,334
335,2023/02/12,335
336,2023/06/27,336
337,2023/12/19,337
338,2023/01/31,338
339,2023/06/20,339
340,2024/01/17,340
341,2023/03/30,340
342,2023/12/07,340
343,2023/02/07,340
344,2023/08/02,340
345,2023/03/20,345
346,2023/12/16,346
347,2023/01/23,347
348,2023/12/23,348
349,2023/09/09,349
350,2023/01/25,350
351,2023/04/06,351
352,2023/10/18,352
353,2023/09/16,353
354,2023/04/17,354
355,2023/03/08,355
356,2023/04/13,356
357,2023/08/15,357
358,2023/11/30,357
359,2023/07/27,357
360,2023/04/07,357
361,2023/12/19,357
362,2023/02/19,357
363,2023/06/19,363
364,2023/07/09,364
365,2023/07/17,365
366,2023/02/04,366
367,2023/04/07,367
368,2023/11/18,367
369,2023/05/25,367
370,2023/04/17,367
371,2023/01/21,367
372,2023/12/11,367
373,2023/05/09,367
374,2023/07/19,367
375,2023/12/18,367
376,2023/07/21,376
377,2023/07/14,377
378,2023/11/19,378
379,2023/03/17,379
380,2024/01/06,380
381,2024/01/11,381
382,2023/11/28,382
383,2023/03/08,383
384,2023/10/10,384
385,2023/12/29,384
386,2023/05/06,384
387,2023/08/22,384
388,2023/02/06,384
389,2023/10/25,384
390,2024/01/11,384
391,2023/05/28,384
392,2023/11/24,392
393,2023/03/25,393
394,2023/07/28,394
395,2023/09/07,395
396,2023/02/16,395
397,2023/08/21,395
398,2023/07/05,395
399,2023/12/04,395
400,2023/12/24,395
401,2023/12/29,395
402,2023/08/14,395
403,2023/03/14,403
404,2024/01/19,404
405,2023/06/20,405
406,2023/12/10,406
407,2023/03/21,407
408,2023/09/25,408
409,2023/03/29,409
410,2023/03/12,410
411,2023/07/29,411
412,2023/08/17,412
413,2023/08/27,413
414,2023/11/21,413
415,2023/02/21,413
416,2023/04/29,413
417,2023/10/27,413
418,2023/10/30,413
419,2023/10/04,419
420,2023/08/25,420
421,2023/11/05,421
422,2023/02/03,422
423,2023/02/23,422
424,2023/07/12,422
425,2023/02/09,422
426,2024/01/06,422
427,2023/02/03,427
428,2023/04/18,428
429,2023/11/17,429
430,2023/06/28,430
431,2023/03/19,430
432,2023/06/10,430
433,2023/08/18,430
434,2023/03/28,430
435,2023/08/27,435
436,2024/01/02,436
437,2023/05/29,436
438,2023/12/02,436
439,2023/09/07,436
440,2023/12/05,436
441,2024/01/16,436
442,2024/01/15,436
443,2023/09/15,436
444,2023/06/01,436
445,2023/09/30,436
446,2023/07/09,436
447,2023/07/01,436
448,2023/08/13,436
449,2023/03/10,15
450,2023/12/08,14
451,2023/04/22,14
452,2023/03/14,14
453,2024/01/03,436
454,2023/09/22,436
455,2023/07/29,12
456,2023/12/27,12
457,2023/08/03,12
458,2023/06/09,436
459,2023/06/03,436
460,2023/05/24,25
461,2023/07/17,436
462,2023/10/26,25
463,2023/09/15,436
464,2023/03/06,16
465,2023/08/31,436
466,2023/08/29,436
467,2023/10/02,436
468,2024/01/18,436
469,2023/08/07,5
470,2023/05/06,5
471,2023/04/13,5
472,2023/02/12,436
473,2023/04/06,4
474,2023/02/02,436
475,2023/05/28,4
476,2023/05/21,436
477,2023/06/18,436
478,2023/06/10,3
479,2023/03/10,436
480,2023/05/22,3
481,2023/07/18,436
482,2023/05/27,3
483,2023/05/27,436
484,2023/02/16,3
485,2023/01/22,436
486,2023/10/24,436
487,2023/04/22,2
488,2023/03/28,2
489,2023/07/12,2
490,2023/09/29,436
491,2023/12/28,436
492,2023/01/29,436
493,2024/01/13,436
494,2023/05/01,436
495,2023/12/17,436
496,2023/04/05,436
497,2023/07/13,436
498,2023/07/06,436
499,2023/12/10,436
500,2023/06/25,436
501,2023/08/23,436
502,2023/11/01,436
503,2023/02/12,436
504,2023/04/12,436
505,2023/01/25,436
506,2023/06/11,436
507,2024/01/09,436
508,2023/08/27,436
509,2023/06/22,436
510,2023/11/16,436
511,2023/08/24,436
512,2023/03/16,436
513,2023/09/15,436
514,2023/08/27,377
515,2023/12/02,377
516,2023/03/20,377
517,2023/08/26,377
518,2024/01/02,436
519,2023/05/07,436
520,2023/05/07,6
521,2023/06/23,6
522,2023/01/23,6
523,2023/05/13,436
524,2023/11/19,436
525,2023/01/26,436